id,datetime,Title,longitude,latitude,BaoJing,KongChe,DingDengZhuangTai,GaoJia,ShaChe,Speed,Direction,Satellite,Hint
26834,2015-04-01 08:02:44,,121.517805,31.373987,0,1,1,0,0,37.299999,107.000000,7,[Title:26834_1_2015-04-01 08:02:44][WordVisible:][PointVisible:][PointRGB:0x0000FF][PointAlpha:0.6][PointSize:6]
26834,2015-04-01 08:02:54,,121.518860,31.373883,0,1,1,0,0,38.200001,87.000000,7,[Title:26834_1_2015-04-01 08:02:54][WordVisible:][PointVisible:][PointRGB:0x0000FF][PointAlpha:0.6][PointSize:6]
26834,2015-04-01 08:03:39,,121.523555,31.375317,0,1,1,0,0,31.299999,107.000000,7,[Title:26834_1_2015-04-01 08:03:39][WordVisible:][PointVisible:][PointRGB:0x0000FF][PointAlpha:0.6][PointSize:6]
26834,2015-04-01 08:04:09,,121.525843,31.373680,0,1,1,0,0,29.200001,122.000000,7,[Title:26834_1_2015-04-01 08:04:09][WordVisible:][PointVisible:][PointRGB:0x0000FF][PointAlpha:0.6][PointSize:6]
26834,2015-04-01 08:04:59,,121.529842,31.371630,0,1,1,0,0,45.900002,129.000000,7,[Title:26834_1_2015-04-01 08:04:59][WordVisible:][PointVisible:][PointRGB:0x0000FF][PointAlpha:0.6][PointSize:6]
26834,2015-04-01 08:05:59,,121.534867,31.367653,0,1,1,0,0,18.000000,116.000000,7,[Title:26834_1_2015-04-01 08:05:59][WordVisible:][PointVisible:][PointRGB:0x0000FF][PointAlpha:0.6][PointSize:6]
26834,2015-04-01 08:06:49,,121.538840,31.367515,0,1,1,0,0,27.400000,107.000000,7,[Title:26834_1_2015-04-01 08:06:49][WordVisible:][PointVisible:][PointRGB:0x0000FF][PointAlpha:0.6][PointSize:6]
26834,2015-04-01 08:08:19,,121.547000,31.364740,0,1,1,0,0,31.400000,126.000000,7,[Title:26834_1_2015-04-01 08:08:19][WordVisible:][PointVisible:][PointRGB:0x0000FF][PointAlpha:0.6][PointSize:6]
26834,2015-04-01 08:08:59,,121.550330,31.360185,0,1,1,0,0,66.400002,151.000000,6,[Title:26834_1_2015-04-01 08:08:59][WordVisible:][PointVisible:][PointRGB:0x0000FF][PointAlpha:0.6][PointSize:6]
26834,2015-04-01 08:09:59,,121.552108,31.356538,0,1,1,0,0,62.400002,149.000000,7,[Title:26834_1_2015-04-01 08:09:59][WordVisible:][PointVisible:][PointRGB:0x0000FF][PointAlpha:0.6][PointSize:6]
26834,2015-04-01 08:10:19,,121.554117,31.354360,0,1,1,0,0,25.700001,143.000000,7,[Title:26834_1_2015-04-01 08:10:19][WordVisible:][PointVisible:][PointRGB:0x0000FF][PointAlpha:0.6][PointSize:6]
26834,2015-04-01 08:10:39,,121.555233,31.352528,0,1,1,0,1,27.700001,141.000000,7,[Title:26834_1_2015-04-01 08:10:39][WordVisible:][PointVisible:][PointRGB:0x0000FF][PointAlpha:0.6][PointSize:6]
26834,2015-04-01 08:11:42,,121.560878,31.352387,0,1,1,0,0,36.700001,86.000000,6,[Title:26834_1_2015-04-01 08:11:42][WordVisible:][PointVisible:][PointRGB:0x0000FF][PointAlpha:0.6][PointSize:6]
26834,2015-04-01 08:12:27,,121.564158,31.352665,0,1,1,0,0,13.000000,133.000000,7,[Title:26834_1_2015-04-01 08:12:27][WordVisible:][PointVisible:][PointRGB:0x0000FF][PointAlpha:0.6][PointSize:6]
26834,2015-04-01 08:15:20,,121.567565,31.344500,0,1,1,0,0,35.200001,159.000000,6,[Title:26834_1_2015-04-01 08:15:20][WordVisible:][PointVisible:][PointRGB:0x0000FF][PointAlpha:0.6][PointSize:6]
